config,seed,trial,clean_best_so_far
④: Arrhenius mean only,42,17,0.6064951788878215
④: Arrhenius mean only,42,18,0.6064951788878215
④: Arrhenius mean only,42,19,0.6064951788878215
④: Arrhenius mean only,42,20,0.6064951788878215
④: Arrhenius mean only,42,21,0.6064951788878215
④: Arrhenius mean only,43,1,0.09216088394989201
④: Arrhenius mean only,43,2,0.10228478812081578
④: Arrhenius mean only,43,3,0.4469449783346927
④: Arrhenius mean only,43,4,0.4469449783346927
④: Arrhenius mean only,43,5,0.4469449783346927
④: Arrhenius mean only,43,6,0.5663419037277398
④: Arrhenius mean only,43,7,0.6060774072725879
④: Arrhenius mean only,43,8,0.606475423245236
④: Arrhenius mean only,43,9,0.606475423245236
④: Arrhenius mean only,43,10,0.6049865767040457
④: Arrhenius mean only,43,11,0.6049865767040457
④: Arrhenius mean only,43,12,0.6049865767040457
④: Arrhenius mean only,43,13,0.6049865767040457
④: Arrhenius mean only,43,14,0.6049865767040457
④: Arrhenius mean only,43,15,0.6049865767040457
④: Arrhenius mean only,43,16,0.6049865767040457
④: Arrhenius mean only,43,17,0.6049865767040457
④: Arrhenius mean only,43,18,0.6049865767040457
④: Arrhenius mean only,43,19,0.6049865767040457
④: Arrhenius mean only,43,20,0.6049865767040457
④: Arrhenius mean only,43,21,0.60497627114513
④: Arrhenius mean only,44,1,0.490520292401848
④: Arrhenius mean only,44,2,0.490520292401848
④: Arrhenius mean only,44,3,0.490520292401848
④: Arrhenius mean only,44,4,0.490520292401848
④: Arrhenius mean only,44,5,0.490520292401848
④: Arrhenius mean only,44,6,0.490520292401848
④: Arrhenius mean only,44,7,0.5956717712187988
④: Arrhenius mean only,44,8,0.6054455722981724
④: Arrhenius mean only,44,9,0.6054455722981724
④: Arrhenius mean only,44,10,0.6054455722981724
④: Arrhenius mean only,44,11,0.6065147534984335
④: Arrhenius mean only,44,12,0.6065147534984335
④: Arrhenius mean only,44,13,0.6065147534984335
④: Arrhenius mean only,44,14,0.6065147534984335
④: Arrhenius mean only,44,15,0.6065147534984335
④: Arrhenius mean only,44,16,0.6065147534984335
④: Arrhenius mean only,44,17,0.6065147534984335
④: Arrhenius mean only,44,18,0.6065147534984335
④: Arrhenius mean only,44,19,0.6065147534984335
④: Arrhenius mean only,44,20,0.6065147534984335
④: Arrhenius mean only,44,21,0.6065147534984335
④: Arrhenius mean only,45,1,0.1529420458340148
④: Arrhenius mean only,45,2,0.2636835884237844
④: Arrhenius mean only,45,3,0.4969742837987084
④: Arrhenius mean only,45,4,0.48989068524803253
④: Arrhenius mean only,45,5,0.48989068524803253
④: Arrhenius mean only,45,6,0.48989068524803253
